device_id,date,time,current,active_power,reactive_power,ts_id
test_1,20/04/22,11:53:44,0.0292,0.66,7.37,112565
test_1,20/04/22,11:53:45,0.0292,0.66,7.37,112565
test_1,20/04/22,11:53:46,0.0292,0.66,7.37,112565
test_1,20/04/22,11:53:47,0.0292,0.66,7.37,112565
test_1,20/04/22,11:53:48,0.0292,0.66,7.37,112565
test_1,20/04/22,11:53:49,0.0292,0.66,7.37,112565
test_1,20/04/22,11:53:50,0.0292,0.66,7.37,112565
test_1,20/04/22,11:53:51,0.0292,0.66,7.37,112565
test_1,20/04/22,11:53:52,0.0292,0.66,7.37,112565
test_1,20/04/22,11:53:53,0.0449,2.94,7.34,112565
test_1,20/04/22,11:53:54,0.0524,4.19,7.3,112565
test_1,20/04/22,11:53:55,0.0486,3.69,7.34,112565
test_1,20/04/22,11:53:56,0.0486,3.69,7.34,112565
test_1,20/04/22,11:53:57,0.1415,14.23,8.02,112565
test_1,20/04/22,11:53:58,0.2779,36.41,10.05,112565
test_1,20/04/22,11:53:59,0.2756,36.09,10.02,112565
test_1,20/04/22,11:54:00,0.2786,36.42,10.05,112565
test_1,20/04/22,11:54:01,0.2786,36.42,10.05,112565
test_1,20/04/22,11:54:02,0.2786,36.39,10.09,112565
test_1,20/04/22,11:54:03,0.2801,36.45,10.13,112565
test_1,20/04/22,11:54:04,0.2786,36.39,10.09,112565
test_1,20/04/22,11:54:05,0.2809,36.45,10.12,112565
test_1,20/04/22,11:54:06,0.2816,36.49,10.16,112565
test_1,20/04/22,11:54:07,0.2809,36.52,10.15,112565
test_1,20/04/22,11:54:08,0.2809,36.52,10.15,112565
test_1,20/04/22,11:54:09,0.2816,36.52,10.19,112565
test_1,20/04/22,11:54:10,0.2816,36.52,10.19,112565
test_1,20/04/22,11:54:11,0.2816,36.52,10.19,112565
test_1,20/04/22,11:54:12,0.2816,36.52,10.19,112565
test_1,20/04/22,11:54:13,0.2816,36.52,10.19,112565
test_2,21/11/22,6:22:23,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:24,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:25,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:26,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:27,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:28,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:29,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:30,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:31,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:32,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:33,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:34,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:35,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:36,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:37,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:38,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:39,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:40,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:41,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:42,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:43,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:44,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:45,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:46,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:47,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:48,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:49,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:50,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:51,0.0292,0.64,7.33,112566
test_2,21/11/22,6:22:52,0.0292,0.64,7.33,112566
test_3,14/09/22,15:44:13,0.0299,0.65,7.54,112567
test_3,14/09/22,15:44:14,0.0299,0.65,7.54,112567
test_3,14/09/22,15:44:15,0.0299,999999,7.54,112567
test_3,14/09/22,15:44:16,0.0299,0.65,7.54,112567
test_3,14/09/22,15:44:17,0.0299,0.65,7.54,112567
test_3,14/09/22,15:44:18,0.0299,0.65,7.54,112567
test_3,14/09/22,15:44:19,0.0299,0.65,7.54,112567
test_3,14/09/22,15:44:20,0.0299,0.65,7.54,112567
test_3,14/09/22,15:44:21,0.0299,0.65,7.54,112567
test_3,14/09/22,15:44:22,0.0299,0.65,7.54,112567
test_3,14/09/22,15:44:23,0.0524,4.22,7.34,112567
test_3,14/09/22,15:44:24,0.0494,3.72,7.32,112567
test_3,14/09/22,15:44:25,0.0531,4.21,7.34,112567
test_3,14/09/22,15:44:26,0.0809,7.89,7.27,112567
test_3,14/09/22,15:44:27,0.0809,7.89,7.27,112567
test_3,14/09/22,15:44:28,0.2786,37.22,9.58,112567
test_3,14/09/22,15:44:29,0.2779,37.03,9.51,112567
test_3,14/09/22,15:44:30,0.2801,37.33,9.56,112567
test_3,14/09/22,15:44:31,0.2809,37.35,9.56,112567
test_3,14/09/22,15:44:32,0.2809,37.35,9.56,112567
test_3,14/09/22,15:44:33,0.2824,37.53,9.57,112567
test_3,14/09/22,15:44:34,0.2824,37.56,9.61,112567
test_3,14/09/22,15:44:35,0.2816,37.47,9.58,112567
test_3,14/09/22,15:44:36,0.2816,37.54,9.61,112567
test_3,14/09/22,15:44:37,0.2839,37.74,9.61,112567
test_3,14/09/22,15:44:38,0.2831,37.68,9.63,112567
test_3,14/09/22,15:44:39,0.2831,37.68,9.63,112567
test_3,14/09/22,15:44:40,0.2831,37.68,9.63,112567
test_3,14/09/22,15:44:41,0.2861,38.02,9.66,112567
test_3,14/09/22,15:44:42,0.2869,38.06,9.76,112567
test_4,22/02/22,12:02:01,0.0299,0.71,7.56,112568
test_4,22/02/22,12:02:02,0.0494,3.73,7.48,112568
test_4,22/02/22,12:02:03,0.0486,3.73,7.42,112568
test_4,22/02/22,12:02:04,0.0516,4.22,7.4,112568
test_4,22/02/22,12:02:05,0.0816,8.17,7.44,112568
test_4,22/02/22,12:02:06,0.2839,37.22,9.27,112568
test_4,22/02/22,12:02:07,0.2824,37.01,9.32,112568
test_4,22/02/22,12:02:08,0.2846,37.33,9.28,112568
test_4,22/02/22,12:02:09,0.2846,37.33,9.28,112568
