device_id,current,active_power,reactive_power,ts_id,device_type,device_location,device_brand,device_category,description,synthetic
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0449,2.94,7.34,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0524,4.19,7.3,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0486,3.69,7.34,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.0486,3.69,7.34,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.1415,14.23,8.02,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.2779,36.41,10.05,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.2756,36.09,10.02,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
bc86aaec-8a88-48d4-a6cf-23405b4c4dfb,0.2786,36.42,10.05,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
